AEMON,GRENN
AEMON,SAMWELL
AERYS,JAIME
AERYS,ROBERT
AERYS,TYRION
AERYS,TYWIN
ALLISER,MANCE
AMORY,OBERYN
ARYA,ANGUY
ARYA,BERIC
ARYA,BRAN
ARYA,BRYNDEN
ARYA,CERSEI
ARYA,GENDRY
ARYA,GREGOR
ARYA,JAIME
ARYA,JOFFREY
ARYA,JON
ARYA,RICKON
ARYA,ROBERT
ARYA,ROOSE
ARYA,SANDOR
ARYA,THOROS
ARYA,TYRION
BALON,LORAS
BELWAS,BARRISTAN
BELWAS,ILLYRIO
BERIC,ANGUY
BERIC,GENDRY
BERIC,THOROS
BRAN,HODOR
BRAN,JOJEN
BRAN,JON
BRAN,LUWIN
BRAN,MEERA
BRAN,NAN
BRAN,RICKON
BRAN,SAMWELL
BRAN,THEON
BRIENNE,LORAS
BRONN,GREGOR
BRONN,PODRICK
BRYNDEN,BRYNDEN
BRYNDEN,LOTHAR
BRYNDEN,WALDER
CATELYN,BRAN
CATELYN,BRIENNE
CATELYN,BRYNDEN
CATELYN,CERSEI
CATELYN,EDMURE
CATELYN,HOSTER
CATELYN,JAIME
CATELYN,JEYNE
CATELYN,LYSA
CATELYN,PETYR
CATELYN,ROBB
CATELYN,ROOSE
CATELYN,ROSLIN
CATELYN,SANSA
CATELYN,STANNIS
CATELYN,TYRION
CATELYN,WALDER
CERSEI,BRIENNE
CERSEI,BRONN
CERSEI,ELIA
CERSEI,GREGOR
CERSEI,ILYN
CERSEI,JAIME
CERSEI,JOFFREY
CERSEI,MERYN
CERSEI,PYCELLE
CERSEI,ROBERT
CERSEI,SANDOR
CERSEI,SHAE
CERSEI,TYRION
CERSEI,VARYS
CRASTER,KARL
DAARIO,DROGO
DAARIO,IRRI
DAENERYS,AEGON
DAENERYS,BARRISTAN
DAENERYS,BELWAS
DAENERYS,DAARIO
DAENERYS,DROGO
DAENERYS,IRRI
DAENERYS,JORAH
DAENERYS,KRAZNYS
DAENERYS,MISSANDEI
DAENERYS,RAKHARO
DAENERYS,RHAEGAR
DAENERYS,ROBERT
DAENERYS,VISERYS
DAENERYS,WORM
DAVOS,CRESSEN
DAVOS,SALLADHOR
EDDARD,ARYA
EDDARD,BERIC
EDDARD,BRAN
EDDARD,CATELYN
EDDARD,CERSEI
EDDARD,JAIME
EDDARD,JON
EDDARD,RICKON
EDDARD,ROBB
EDDARD,ROBERT
EDDARD,SANDOR
EDDARD,SANSA
EDDISON,GRENN
EDMURE,BRYNDEN
EDMURE,LOTHAR
EDMURE,ROSLIN
EDMURE,WALDER
GENDRY,THOROS
GILLY,CRASTER
GREGOR,ELIA
GREGOR,ILYN
GREGOR,MERYN
GREGOR,OBERYN
GREGOR,SANDOR
HODOR,JOJEN
HODOR,MEERA
HOSTER,EDMURE
IRRI,DROGO
JAIME,BALON
JAIME,BARRISTAN
JAIME,BRIENNE
JAIME,EDMURE
JAIME,ELIA
JAIME,GREGOR
JAIME,JOFFREY
JAIME,LORAS
JAIME,MERYN
JAIME,QYBURN
JAIME,RENLY
JAIME,ROBERT
JAIME,STANNIS
JAIME,TOMMEN
JAIME,TYRION
JANOS,ALLISER
JANOS,BOWEN
JANOS,MANCE
JOFFREY,GREGOR
JOFFREY,ILYN
JOFFREY,KEVAN
JOFFREY,LORAS
JOFFREY,MARGAERY
JOFFREY,MERYN
JOFFREY,MYRCELLA
JOFFREY,OBERYN
JOFFREY,SANDOR
JOFFREY,STANNIS
JOFFREY,TOMMEN
JOFFREY,TYRION
JOJEN,MEERA
JOJEN,SAMWELL
JON,AEMON
JON,ALLISER
JON,CRASTER
JON,DALLA
JON,EDDISON
JON,GILLY
JON,GRENN
JON,JANOS
JON,MANCE
JON,MEERA
JON,MELISANDRE
JON,ORELL
JON,QHORIN
JON,RATTLESHIRT
JON,ROBERT
JON,SAMWELL
JON,STANNIS
JON,STYR
JON,THEON
JON,VAL
JON,YGRITTE
JON_ARRYN,LYSA
JON_ARRYN,ROBERT
JORAH,BARRISTAN
JORAH,BELWAS
JORAH,DAARIO
JORAH,DROGO
KEVAN,LANCEL
KEVAN,VARYS
LORAS,MARGAERY
LORAS,OLENNA
LOTHAR,ROSLIN
LUWIN,NAN
LYSA,CERSEI
LYSA,HOSTER
LYSA,MARILLION
LYSA,PETYR
LYSA,ROBERT_ARRYN
LYSA,TYRION
LYSA,TYWIN
MANCE,CRASTER
MANCE,DALLA
MANCE,GILLY
MANCE,QHORIN
MANCE,RATTLESHIRT
MANCE,STYR
MANCE,VAL
MANCE,YGRITTE
MEERA,SAMWELL
MELISANDRE,DAVOS
MELISANDRE,SAMWELL
MERYN,ILYN
MISSANDEI,IRRI
MYRCELLA,TOMMEN
MYRCELLA,TYRION
OBERYN,ELLARIA
OBERYN,MACE
PODRICK,MARGAERY
RATTLESHIRT,QHORIN
RENLY,LORAS
RENLY,MARGAERY
RENLY,VARYS
RHAEGAR,BARRISTAN
RHAEGAR,ELIA
RHAEGAR,JORAH
RHAEGAR,ROBERT
RICKARD,BRYNDEN
RICKON,THEON
ROBB,ARYA
ROBB,BALON
ROBB,BRAN
ROBB,BRIENNE
ROBB,BRYNDEN
ROBB,EDMURE
ROBB,HODOR
ROBB,JAIME
ROBB,JEYNE
ROBB,JOFFREY
ROBB,JON
ROBB,LOTHAR
ROBB,PETYR
ROBB,RAMSAY
ROBB,RICKARD
ROBB,RICKON
ROBB,ROOSE
ROBB,SANSA
ROBB,STANNIS
ROBB,THEON
ROBB,TYRION
ROBB,TYWIN
ROBB,WALDER
ROBERT,AEMON
ROBERT,BARRISTAN
ROBERT,RENLY
ROBERT,STANNIS
ROBERT,THOROS
ROBERT_ARRYN,MARILLION
ROOSE,BRIENNE
SAMWELL,BOWEN
SAMWELL,CRASTER
SAMWELL,EDDISON
SAMWELL,GILLY
SAMWELL,GRENN
SAMWELL,JANOS
SAMWELL,MANCE
SAMWELL,QHORIN
SANDOR,BERIC
SANDOR,GENDRY
SANDOR,ILYN
SANDOR,MERYN
SANDOR,ROBERT
SANDOR,THOROS
SANSA,ARYA
SANSA,BRAN
SANSA,BRIENNE
SANSA,CERSEI
SANSA,JAIME
SANSA,JOFFREY
SANSA,JON
SANSA,KEVAN
SANSA,LORAS
SANSA,LYSA
SANSA,MARGAERY
SANSA,MARILLION
SANSA,MYRCELLA
SANSA,OLENNA
SANSA,PETYR
SANSA,PODRICK
SANSA,RENLY
SANSA,RICKON
SANSA,ROBERT
SANSA,ROBERT_ARRYN
SANSA,SANDOR
SANSA,SHAE
SANSA,TYRION
SHAE,CHATAYA
SHAE,VARYS
SHIREEN,DAVOS
STANNIS,AEMON
STANNIS,BALON
STANNIS,DAVOS
STANNIS,MELISANDRE
STANNIS,RENLY
STANNIS,SAMWELL
TOMMEN,MARGAERY
TYRION,BALON
TYRION,BRONN
TYRION,CHATAYA
TYRION,DORAN
TYRION,ELIA
TYRION,ELLARIA
TYRION,GREGOR
TYRION,ILYN
TYRION,JANOS
TYRION,KEVAN
TYRION,LORAS
TYRION,MACE
TYRION,MARGAERY
TYRION,MERYN
TYRION,OBERYN
TYRION,PETYR
TYRION,PODRICK
TYRION,PYCELLE
TYRION,RENLY
TYRION,ROBERT
TYRION,SANDOR
TYRION,SHAE
TYRION,STANNIS
TYRION,VARYS
TYWIN,BALON
TYWIN,BRYNDEN
TYWIN,CERSEI
TYWIN,GREGOR
TYWIN,JAIME
TYWIN,JOFFREY
TYWIN,KEVAN,
TYWIN,MACE
TYWIN,OBERYN
TYWIN,PETYR
TYWIN,PODRICK
TYWIN,PYCELLE
TYWIN,ROBERT
TYWIN,STANNIS
TYWIN,TOMMEN
TYWIN,TYRION
TYWIN,VAL
TYWIN,VARYS
TYWIN,WALDER
VAL,DALLA
VARYS,PYCELLE
VISERYS,RHAEGAR
VISERYS,TYRION
WALDER,LOTHAR
WALDER,PETYR
WALDER,ROSLIN
WALTON,JAIME
YGRITTE,QHORIN
YGRITTE,RATTLESHIRT
